,constituency,2009,2010,2011,2012,2013
0,E14000530,180000,205000,203000,202000,213000
1,E14000531,150000,150000,154000,150000,156250
2,E14000532,219950,239972,230000,232000,236750
3,E14000533,115000,118000,112250,118000,120000
4,E14000534,250000,279950,285950,300000,300000
5,E14000535,102000,105000,104950,104997,105000
6,E14000536,175000,190000,175000,189125,195000
7,E14000537,100000,96000,98000,90000,94500
8,E14000538,185000,209000,215000,213000,219997
9,E14000539,178000,197500,195000,200000,210000
10,E14000540,155000,170000,168747,172747,180000
11,E14000541,95000,93000,100000,100000,97000
12,E14000542,98000,95000,95000,98000,98000
13,E14000543,113250,115000,112750,111000,115000
14,E14000544,189997,218000,194747,207000,219997
15,E14000545,175000,189950,190250,199950,208000
16,E14000546,122000,124500,122000,118000,121500
17,E14000547,218500,250000,242500,249995,250000
18,E14000548,118000,122000,113000,115000,117500
19,E14000549,406000,430000,450000,460000,516525
20,E14000550,328250,370000,370000,350000,370000
21,E14000551,270000,301500,310000,310000,335000
22,E14000552,149000,158000,155000,164500,163000
23,E14000553,302000,326000,328900,350000,370000
24,E14000554,155000,160000,152475,150500,155000
25,E14000555,270000,280000,275000,305000,325000
26,E14000556,132725,140000,134000,140000,142500
27,E14000557,203000,220000,210000,210000,225000
28,E14000558,194995,207000,210000,200000,220000
29,E14000559,108000,105000,106850,105000,110000
30,E14000560,147995,155747,150940,147500,162500
31,E14000561,110000,113000,105000,106000,110000
32,E14000562,150000,152750,150000,156000,160000
33,E14000563,105000,107000,105000,108000,105000
34,E14000564,110000,110000,115000,114995,117000
35,E14000565,112000,115000,115000,124950,123000
36,E14000566,115000,115000,114000,112000,115000
37,E14000567,132950,139100,134000,135000,140000
38,E14000568,115000,119950,115000,116000,120000
39,E14000569,100000,100000,110000,108000,109995
40,E14000570,93000,92750,90000,93000,95000
41,E14000571,99000,95500,89950,90000,100000
42,E14000572,116250,115000,105000,106000,109500
43,E14000573,94950,97250,95000,89000,90000
44,E14000574,131995,130000,132000,129497,132995
45,E14000575,116250,117850,112500,117995,119996
